"rider_type","end_station_name","number_of_rides"
"casual","Central Ave & Roscoe St",128
"casual","Commercial Ave & 83rd St",128
"casual","Jeffery Blvd & 76th St",127
"casual","W 103rd St & S Avers Ave",126
"casual","Central Park Ave & Ohio St",125
"casual","Lawndale Ave & 30th St",125
"casual","Midway Orange Line",125
"casual","Baltimore Ave & 87th St",123
"casual","Chicago State University",123
"casual","Kedzie Ave & 52nd St",123
"casual","St Louis Ave & Norman Bobbins Ave",123
"casual","Pulaski Rd & Congress Pkwy",122
"casual","Western Blvd & 49th St",122
"casual","Public Rack - Hamlin Ave & Fullerton Ave",121
"casual","Shabbona Park",121
"casual","Houston Ave & 92nd St",120
"casual","Archer Ave & 43rd St",117
"casual","Public Rack - Milwaukee Ave & Haussen Ct",117
"casual","Mulligan Ave & Wellington Ave",116
"casual","Dauphin Ave & 103rd St",114
"casual","Indiana Ave & 103rd St",114
"casual","California Ave & 26th St",113
"casual","Cornell Dr & Hayes Dr",113
"casual","Michigan Ave & 71st St",112
"casual","Damen Ave & 51st St",111
"casual","Washtenaw Ave & Peterson Ave",110
"casual","Ashland Ave & Garfield Blvd",109
"casual","Central Park Blvd & 5th Ave",109
"casual","Green St & Madison Ave*",109
"casual","Virginia Ave & Catalpa Ave",109
"casual","Halsted St & 96th St",108
"casual","Marquette Ave & 89th St",108
"casual","Albany Ave & 16th St",107
"casual","Fairfield Ave & 44th St",107
"casual","Laramie Ave & Madison St",107
"casual","Public Rack - Cicero Ave & Wrightwood Ave",107
"casual","Eastlake Ter & Howard St",106
"casual","Ashland Ave & 50th St",105
"casual","Central Ave & Harrison St",105
"casual","Laramie Ave & Kinzie St",104
"casual","Major Taylor Trail & 115th St",104
"casual","Richmond St & Lincoln Ave",104
"casual","Vernon Ave & 107th St",104
"casual","Karlov Ave & Madison St",103
"casual","Doty Ave & 111th St",102
"casual","Loomis St & 89th St",102
"casual","Wells St & Institute Pl",102
"casual","Washtenaw Ave & Madison St",101
"casual","Ashland Ave & Pershing Rd",100
"casual","Public Rack - Spaulding Ave & North Ave",99
"casual","Cicero Ave & Quincy St",98
"casual","Public Rack - Spaulding Ave & Evergreen Ave",98
"casual","Ashland Ave & 63rd St",97
"casual","Dauphin Ave & 87th St",97
"casual","Hyde Park Blvd & 55th St",97
"casual","Public Rack - Keystone Ave & North Ave",97
"casual","Elizabeth St & 92nd St",96
"casual","Mason Ave & Belmont Ave",96
"casual","Kedzie Ave & Harrison St",95
"casual","Oketo Ave & Addison St",95
"casual","Torrence Ave & 106th St",95
"casual","Hamlin Ave & 62nd Pl",94
"casual","MTV Hubbard St",94
"casual","Public Rack - Hamlin Ave & Grand Ave",94
"casual","Western Ave & Lake St",93
"casual","Avenue O & 118th St",92
"casual","Loomis St & Lexington St*",92
"casual","Washtenaw Ave & Superior St",92
"casual","Exchange Ave & 79th St",91
"casual","Public Rack - Rockwell Ave & Touhy Ave ",90
"casual","Clyde Ave & 87th St",89
"casual","Eggleston Ave & 69th St",89
"casual","Kildare Ave & 47th St",89
"casual","Kostner Ave & 63rd St",89
"casual","Greenwood Ave & 91st St",88
"casual","Homewood Ave & 115th St",88
"casual","Kenneth Ave & 50th St",88
"casual","California & 16th St",87
"casual","Maryland Ave & 104th St",87
"casual","Central Park Ave & Douglas Blvd",86
"casual","Meade Ave & Addison St",86
"casual","Public Rack - Sacramento Ave & Devon Ave",86
"casual","Central Ave & Madison St",85
"casual","Greenwood Ave & 79th St",85
"casual","Major Ave & Bloomingdale Ave",85
"casual","Major Taylor Trail & 124th St",85
"casual","Public Rack - Washtenaw Ave & Devon Ave",85
"casual","Lavergne Ave & 46th St",84
"casual","East End Ave & 87th St",83
"casual","Leamington Ave & Hirsch St",83
"casual","Campbell Ave & 51st St",82
"casual","Cicero Ave & Flournoy St",82
"casual","Eggleston Ave & 92nd St",82
"casual","Maplewood Ave & 59th St",82
"casual","Pulaski Rd & 60th St",82
"casual","Public Rack - Lorel Ave & Grand Ave",81
"casual","Cottage Grove Ave & 111th Pl",80
"casual","Ewing Ave & Burnham Greenway",80
"casual","Narragansett & McLean",80
"casual","State St & Pershing Rd",80
"casual","La Villita Park (Albany/30th)",79
"casual","Western & 28th - Velasquez Institute Vaccination Site",79
"casual","Ashland Ave & 74th St",78
"casual","Bennett Ave & 79th St",78
"casual","Richmond St & 59th St",78
"casual","Phillips Ave & 83rd St",77
"casual","Public Rack - Hamlin Ave & Montrose Ave",77
"casual","Public Rack - Lawndale Ave & Diversey Ave",77
"casual","State St & 123rd St",77
"casual","California Ave & 36th St",76
"casual","Kedzie Ave & 110th St",76
"casual","Public Rack - Pulaski Rd & Fullerton Ave",76
"casual","Springfield Ave & 47th St",76
"casual","Augusta Blvd & Laramie Ave",75
"casual","Public Rack - Eli Whitney Public School",75
"casual","Vincennes Ave & 75th St",75
"casual","May St & 69th St",74
"casual","Public Rack - Kostner Ave & Armitage Ave",74
"casual","Public Rack - Laramie Ave & Fullerton Ave",74
"casual","Torrence Ave & 126th Pl",74
"casual","Halsted St & 73rd St",73
"casual","Kostner Ave & Lake St",73
"casual","Public Rack - Keystone Ave & Irving Park Rd",73
"casual","Albany Ave & Douglas Blvd",72
"casual","Monticello Ave & Chicago Ave",72
"casual","Tripp Ave & 31st St",72
"casual","Constance Ave & 95th St",71
"casual","Evans Ave & 75th St",71
"casual","Ashland Ave & 78th St",70
"casual","Milwaukee Ave & Diversey Ave",70
"casual","Morgan St & Pershing Rd",70
"casual","Public Rack - Kedzie Ave & Argyle St",70
"casual","Long Ave & North Ave",69
"casual","MLK Jr Dr & 83rd St",69
"casual","Public Rack - Kenton Ave & Palmer St",69
"casual","Public Rack - Kilbourn Ave & Fullerton Ave",69
"casual","State St & 54th St",69
"casual","Eberhart Ave & 91st St",68
"casual","Halsted St & 111th St",68
"casual","Kildare Ave & 26th St",68
"casual","Loomis Blvd & 84th St",68
"casual","Public Rack - Lockwood Ave & Diversey Ave",68
"casual","Bloomingdale Ave & Harlem Ave",67
"casual","Central Park & Augusta Blvd",67
"casual","Lafayette Ave & 95th St",67
"casual","Racine Ave & 109th Pl",67
"casual","Avenue O & 134th St",66
"casual","Robert Fulton Elementary School",66
"casual","Spaulding Ave & 63rd St",66
"casual","Stony Island Ave & South Chicago Ave",66
"casual","Public Rack - Laramie Ave & Belmont Ave",65
"casual","South Chicago Ave & 83rd St",65
"casual","Stewart Ave & 83rd St",65
"casual","Public Rack - Western Blvd & 49th St",64
"casual","Elizabeth St & 47th St",63
"casual","Halsted St & 56th St",63
"casual","Kenton Ave & Madison St",63
"casual","Public Rack - Austin Ave & Wrightwood Ave",63
"casual","Public Rack - Kedvale Ave & Avondale Ave",63
"casual","Throop St & 52nd St",63
"casual","Hoyne Ave & 34th St",62
"casual","Michigan Ave & 114th St",62
"casual","Public Rack - Fullerton Ave & Narragansett Ave",62
"casual","Campbell Ave & Montrose Ave (Temp)",61
"casual","Cottage Grove Ave & 78th St",60
"casual","Troy Ave & 27th St",60
"casual","Altgeld Gardens",59
"casual","Francisco Ave & Hollywood Ave",59
"casual","Mozart Elementary School",59
"casual","Public Rack - Western Ave & Jarvis Ave",59
"casual","Halsted St & 69th St",58
"casual","Hegewisch Metra Station",58
"casual","Kedzie Ave & 61st Pl",58
"casual","Kostner Ave & Adams St",58
"casual","Halsted St & 59th St",57
"casual","Menard Ave & Division St",57
"casual","Racine Ave & 61st St",57
"casual","Racine Ave & 65th St",57
"casual","Public Rack - Karlov Ave & Kamerling Ave",56
"casual","Public Rack - Milwaukee Ave & Addison St",56
"casual","Pulaski & Ann Lurie Pl",56
"casual","Public Rack - Grand Ave & North Ave",55
"casual","Public Rack - Western Ave & Devon Ave",55
"casual","Spaulding Ave & 16th St",55
"casual","Stony Island Ave & 82nd St",55
"casual","Halsted St & 104th St",54
"casual","Nordica & Medill",54
"casual","Public Rack - Milwaukee Ave & School St",54
"casual","Eberhart Ave & 131st St",53
"casual","Keeler Ave & Roosevelt Rd",53
"casual","Public Rack - Jonathan Y Scammon Public School",53
"casual","Public Rack - Midway Orange Line",53
"casual","Vincennes Ave & 104th St",52
"casual","Oglesby Ave & 100th St",50
"casual","Public Rack - Washtenaw Ave & Superior St",50
"casual","Summit Ave & 86th St",50
"casual","Ada St & 113th St",49
"casual","Damen Ave & 33rd St",49
"casual","Lavergne Ave & Division St",48
"casual","Bradley Park",47
"casual","Hyde Park Blvd & 53rd St",47
"casual","Kedzie Ave & 104th St",47
"casual","Lawndale Ave & 16th St",47
"casual","Public Rack - Lake Shore Dr & Hayes Dr",47
"casual","Public Rack - Sawyer Ave & Lawrence Ave",47
"casual","Sacramento Ave & 25th St",47
"casual","Marshfield Ave & 59th St",46
"casual","Public Rack - California Ave & Ogden Ave",46
"casual","Harold Washington Park",45
"casual","Public Rack - Christiana Ave & Lawrence Ave",45
"casual","Kildare & Cermak",44
"casual","Kildare Ave & 55th St",44
"casual","Pulaski Rd & Fullerton Ave",44
"casual","Rhodes Ave & 71st St",44
"casual","Greenwood Ave & 97th St",43
"casual","Harlem Ave & Grace St",43
"casual","Walden Pkwy & 103rd St",43
"casual","Laramie Ave & Gladys Ave",42
"casual","Public Rack - California Ave & Devon Ave - NW",42
"casual","Public Rack - Chopin Park",42
"casual","Kimbark Ave & 67th St",41
"casual","Public Rack - Spaulding Ave & Foster Ave",41
"casual","Roscoe & Harlem",41
"casual","Plainfield & Irving Park",40
"casual","Pulaski Rd & Armitage Ave",40
"casual","State St & 76th St",40
"casual","Carpenter St & 63rd St",39
"casual","Public Rack - Jensen Park",39
"casual","Public Rack - Woodlawn Ave & 63rd St N",39
"casual","Woodlawn Ave & 75th St",39
"casual","Calumet Ave & 71st St",38
"casual","Halsted St & 63rd St",38
"casual","Hamlin Ave & Fullerton Ave",38
"casual","Kedzie Ave & 54th St - SE",38
"casual","Menard Ave & North Ave",38
"casual","Milwaukee Ave & Haussen Ct",38
"casual","Public Rack - Cicero Ave & Altgeld St",38
"casual","Sacramento Blvd & Fulton Ave",38
"casual","Elizabeth St & 59th St",37
"casual","Base - 2132 W Hubbard",36
"casual","Public Rack - Harold Washington Park",36
"casual","Public Rack - Kildare Ave & Division St",36
"casual","Rockwell St & 63rd St",36
"casual","Troy St & Jackson Blvd",36
"casual","Yates Blvd & 93rd St",36
"casual","Commercial Ave & 100th St",35
"casual","Damen Ave & 74th St",35
"casual","Public Rack - Cicero Ave & North Ave",35
"casual","Public Rack - Karlov Ave & Milwaukee Ave",35
"casual","Public Rack - Menard Ave & Dakin St - midblock",35
"casual","Kedzie Ave & 58th St",34
"casual","Public Rack - Laramie Ave & Grand Ave",34
"casual","Public Rack - Pulaski Rd & Lake St",34
"casual","Whipple St & Roosevelt Rd",34
"casual","Public Rack - Drake Ave & Leland Ave",33
"casual","Public Rack - Laramie Ave & Warwick Ave",33
"casual","Pulaski & 52nd",33
"casual","Wabash Ave & 83rd St",33
"casual","Marquette Ave & 79th St",32
"casual","Mozart St & Jackson Blvd",32
"casual","Pulaski Rd & 44th St",32
"casual","Newcastle Ave & Belden Ave",31
"casual","Public Rack - California Ave & Touhy Ave - NW",31
"casual","Public Rack - Kostner Ave & Diversey Ave",31
"casual","Public Rack - Sacramento Ave & Greenleaf Ave",31
"casual","Steelworkers Park",31
"casual","Western Ave & 92nd Pl",31
"casual","Homan Ave & Fillmore St",30
"casual","Laramie Ave & Fullerton Ave",30
"casual","Lowell Ave & Elston Ave",30
"casual","Panama Ave & Grace St",30
"casual","Public Rack - Avondale Ave & Addison St",30
"casual","Public Rack - Cicero Ave & Roscoe St",30
"casual","Public Rack - Menard Ave & Grand Ave",30
"casual","Avenue L & 114th St",29
"casual","Avers Ave & Archer Ave",29
"casual","Public Rack - Cicero Ave & Cortland St - midblock",29
"casual","Public Rack - Linder Ave & Belmont Ave",29
"casual","Pulaski Rd & 51st Rd",29
"casual","Kildare Ave & Division St",28
"casual","Neva Ave & Grand Ave",28
"casual","Christiana Ave & Belmont Ave",27
"casual","N Narragansett Ave & Grand Ave",27
"casual","Public Rack - Calumet Ave & 51st St",27
"casual","Public Rack - Champlain Ave & 65th St",27
"casual","Public Rack - Melvina Ave & Belmont Ave",27
"casual","Public Rack - Spaulding Ave & Bryn Mawr Ave",27
"casual","Wood St & 103rd St",27
"casual","Ashland Ave & 66th St",26
"casual","Christiana Ave & Archer Ave",26
"casual","Milwaukee Ave & Addison St",26
"casual","Monticello Ave & Belmont Ave",26
"casual","Public Rack - St Louis Ave & Berteau Ave",26
"casual","Kedzie Ave & 54th St - SW",25
"casual","Kedzie Ave & 63rd St",25
"casual","Public Rack - McCormick Blvd & Devon Ave",25
"casual","Public Rack - Rockwell & Division",25
"casual","Public Rack - Western Ave & 96th St",25
"casual","Wentworth Ave & 104th St",25
"casual","Kedvale Ave & Avondale Ave",24
"casual","Kildare Ave & Chicago Ave",24
"casual","Komensky Ave & 59th St",24
"casual","Public Rack - Avers Ave & Irving Park Rd",24
"casual","Public Rack - Avers Ave & Ogden Ave",24
"casual","Keystone Ave & North Ave",23
"casual","North Ave & New England Ave",23
"casual","Public Rack - Austin Ave & Roscoe St",23
"casual","Public Rack - Woodlawn Ave & 63rd St - SE",23
"casual","South Chicago Ave & Elliot Ave",23
"casual","Jonathan Y Scammon Public School",22
"casual","Kenton Ave & Palmer St",22
"casual","Public Rack - Central Park Ave & Ogden Ave",22
"casual","Public Rack - Narragansett Ave & Fullerton Ave",22
"casual","Cicero Ave & Wrightwood Ave",21
"casual","Public Rack - Campbell Ave & Pratt Blvd",21
"casual","Public Rack - Central Ave & George St",21
"casual","Public Rack - Cicero Ave & Wellington Ave",21
"casual","Public Rack - South Shore Dr & 71st St",21
"casual","Public Rack - State ST & 42nd St",21
"casual","Sacramento Blvd & Polk St",21
"casual","Spaulding Ave & Evergreen Ave",21
"casual","Western Ave & 62nd St",21
"casual","Western Ave & Jarvis Ave",21
"casual","Pubic Rack - Pulaski Rd & 41st",20
"casual","Public Rack - Central Ave & North Ave",20
"casual","Public Rack - Eberhart Ave & 61st St",20
"casual","Springfield Ave & 63rd St",20
"casual","Martin Luther King Dr & 111th St",19
"casual","Prairie Ave & 47th St - midblock",19
"casual","Public Rack - Lafayette Ave & 95th St",19
"casual","Public Rack - Lawndale Ave & 23rd St",19
"casual","Public Rack - Tripp Ave & North Ave",19
"casual","Tripp Ave & 15th St",19
"casual","Western Ave & 79th St",19
"casual","Base - 2132 W Hubbard Warehouse",18
"casual","Christiana Ave & 55th St",18
"casual","Kedzie Ave & Archer Ave",18
"casual","Public Rack - Kimball Ave & Carmen Ave",18
"casual","Public Rack - Kostner Ave & North Ave",18
"casual","Spaulding Ave & North Ave",18
"casual","Western Ave & 111th St - SW",18
"casual","Western Ave & 28th St",18
"casual","Bell Ave & 95th St",17
"casual","Hamlin Ave & Grand Ave",17
"casual","Homewood Ave & Monterey Ave",17
"casual","Kolin Ave & Archer Ave",17
"casual","Public Rack - Lawndale Ave & 63rd St",17
"casual","Rockwell & 111th St",17
"casual","Western Ave & 100th St",17
"casual","Western Ave & 118th St",17
"casual","Wood St & 47th St",17
"casual","Jeffrey Blvd & 71st St",16
"casual","Public Rack - California Ave & Devon Ave - NE",16
"casual","Public Rack - Kedzie Ave & 61st Pl W",16
"casual","Public Rack - Komensky Ave & 26th St",16
"casual","Public Rack - Leclaire Ave & Division St",16
"casual","Western Ave & 111th St - NW",16
"casual","Divvy Valet - Oakwood Beach",15
"casual","Hamlin Ave & Montrose Ave",15
"casual","Karlov Ave & Kamerling Ave",15
"casual","Mayfield & Roosevelt Rd",15
"casual","Public Rack - Kimbark Ave & 67th St",15
"casual","Public Rack - Talman Ave & Pershing Rd",15
"casual","Public Rack - Wood St & 103rd St",15
"casual","Public Rack - Zapata Academy",15
"casual","Sacramento Ave & Devon Ave",15
"casual","Abbott Park",14
"casual","Central Ave & Corcoran Pl",14
"casual","Kedzie Ave & Pershing Rd",14
"casual","Lawndale Ave & Diversey Ave",14
"casual","Public Rack - Central Ave & Corcoran Pl",14
"casual","Public Rack - Colfax Ave & 83rd St",14
"casual","Public Rack - Hamlin Ave & Chicago Ave",14
"casual","Public Rack - Kedvale Ave & Addison St",14
"casual","Public Rack - King Dr & Oakwood Blvd",14
"casual","Pulaski Rd & 41st",14
"casual","Racine Ave & 76th",14
"casual","Western Ave & 106th St - East",14
"casual","63rd & Western Ave - north corner",13
"casual","Cottage Grove & 86th St",13
"casual","Greenwood Ave & Lake Park Ave",13
"casual","Kedzie Ave & 64th St - SW",13
"casual","Milwaukee Ave & School St",13
"casual","Public Rack - Fullerton Ave & Lavergne Ave",13
"casual","Public Rack - Kedzie Ave & 61st Pl E",13
"casual","Public Rack - Prairie Ave & Garfield Blvd",13
"casual","Public Rack - Woodlawn Ave & 63rd St - NE",13
"casual","Rockwell Ave & Touhy Ave ",13
"casual","Woodlawn & 103rd - Olive Harvey Vaccination Site",13
"casual","Albany Ave & 63rd St",12
"casual","Eli Whitney Public School",12
"casual","Laramie Ave & Grand Ave",12
"casual","Public Rack - Chase Ave & Touhy Ave - NE",12
"casual","Pullman - Walmart",12
"casual","S Wentworth Ave & W 111th St",12
"casual","Torrence Ave  & 106th St",12
"casual","California Ave & Touhy Ave - NW",11
"casual","Calumet Ave & Garfield Blvd",11
"casual","Cicero Ave & Roscoe St",11
"casual","Damen Ave & 47th St",11
"casual","Keystone Ave & Irving Park Rd",11
"casual","Kimball Ave & Carmen Ave",11
"casual","Lafayette Ave & 87th St - SW",11
"casual","Mason Ave & Roosevelt Rd",11
"casual","Public Rack - Christiana Ave & Archer Ave",11
"casual","Public Rack - Hyde Park Blvd & 55th St",11
"casual","Public Rack - Pulaski Rd & 44th St",11
"casual","Public Rack - Rockwell & 111th St",11
"casual","Spaulding Ave & Bryn Mawr Ave",11
"casual","532 E 43rd St",10
"casual","Avers Ave & Irving Park Rd",10
"casual","Cottage Grove Ave & 111th St",10
"casual","Halsted St & 80th St",10
"casual","Hiawatha Park",10
"casual","Mt Greenwood Library - South",10
"casual","Parkside Ave & Armitage Ave",10
"casual","Public Rack - Austin Blvd & North Ave",10
"casual","Public Rack - Homan Ave & 26th St",10
"casual","Public Rack - Kedzie Ave & Archer Ave",10
"casual","Public Rack - Legler Regional Library",10
"casual","Public Rack - Pulaski Rd & Roosevelt Rd",10
"casual","Talman Ave & 51st St - midblock",10
"casual","Walden Pkwy & 99th St",10
"casual","Yates Blvd & Exchange Ave",10
"casual","63rd & Western Ave - south corner",9
"casual","Austin Branch Chicago Public Library",9
"casual","Bishop St & 46th St",9
"casual","California Ave & Pershing Rd",9
"casual","Cicero Ave & Wellington Ave",9
"casual","Grand Ave & North Ave",9
"casual","Harper Ave & 63rd St",9
"casual","Hoyne Ave & 110th Pl",9
"casual","Indiana Ave & 133rd St",9
"casual","Justine St & 87th St",9
"casual","Kostner Ave & North Ave",9
"casual","Public Rack - 532 E 43rd St",9
"casual","Public Rack - Exchange Ave & 73rd Pl",9
"casual","Public Rack - Hyde Park Blvd & 53rd St",9
"casual","Public Rack - Kedzie Ave & 64th St - SW",9
"casual","Public Rack - Latrobe Ave & Lake St",9
"casual","Public Rack - Lawndale Ave & Polk St",9
"casual","Public Rack - Marquette Rd & 67th St",9
"casual","Public Rack - Michele Clark Magnet High School",9
"casual","Public Rack - Pulaski Rd & 5th Ave",9
"casual","Public Rack - Stony Island & 87th St",9
"casual","Public Rack - Whipple St & 26th St",9
"casual","Sacramento Ave & Greenleaf Ave",9
"casual","St Louis Ave & Berteau Ave",9
"casual","Western Ave & 105th St",9
"casual","Ada St & 79th St",8
"casual","Archer Park",8
"casual","Austin Ave & Wrightwood Ave",8
"casual","Bissell St & Armitage Ave - Charging",8
"casual","Cicero Ave & North Ave",8
"casual","Halsted St & 76th St",8
"casual","Homan Ave & 111th St",8
"casual","Kenneth Ave & 63rd St",8
"casual","Nagle Ave & Belmont Ave",8
"casual","Narragansett Ave & Fullerton Ave",8
"casual","Public Rack - Ashland Ave & 45th St",8
"casual","Public Rack - Ashland Ave & 83rd St",8
"casual","Public Rack - Avers Ave & Archer Ave",8
"casual","Public Rack - Chase Ave & Touhy Ave - NW",8
"casual","Public Rack - Christiana Ave & Bryn Mawr Ave",8
"casual","Public Rack - Kedzie Ave & Chicago Ave",8
"casual","Public Rack - King Dr & 115th St",8
"casual","Public Rack - Walden Pkwy & 103rd St",8
"casual","Public Rack - Western Ave & 47th Pl",8
"casual","Public Rack - Western Ave & 98th St",8
"casual","Public Rack - Wood St & 47th St",8
"casual","Pullman - Ross Dress for Less",8
"casual","Rutherford Ave & Belmont Ave",8
"casual","Strohacker Park",8
"casual","Waller Ave & Chicago Ave",8
"casual","Washtenaw Ave & 63rd St",8
"casual","Austin Ave & Roscoe St",7
"casual","Central Ave & Congress Pkwy",7
"casual","Cicero Ave & Altgeld St",7
"casual","Commercial Ave & 89th St",7
"casual","Cottage Grove Ave & 98th St",7
"casual","Emerald Ave & 43rd St",7
"casual","Green St & 103rd St",7
"casual","Hamilton Ave & 95th St",7
"casual","Harvard Ave & 103rd St",7
"casual","Kedvale Ave & 63rd St",7
"casual","Kildare Ave & 63rd St",7
"casual","Kildare Ave & Division Ave",7
"casual","Menard Ave & Dakin St - midblock",7
"casual","Public Rack - Ashland Ave & 91st St",7
"casual","Public Rack - Cornell Ave & 87th Pl",7
"casual","Public Rack - Harvey Ave & North Ave",7
"casual","Public Rack - Karlov Ave & 26th St",7
"casual","Public Rack - Kedzie Ave & 63rd St",7
"casual","Public Rack - Kenneth Ave & 63rd St E",7
"casual","Public Rack - Menard Ave & Belmont Ave",7
"casual","Public Rack - Neva Ave & Grand Ave",7
"casual","Public Rack - Normal Ave & 111th St",7
"casual","Public Rack - Oketo Ave & Belmont Ave",7
"casual","Public Rack - Paxton Ave & 79th St",7
"casual","Public Rack - Prairie Ave & 47th St ",7
"casual","Public Rack - Pulaski & 52nd",7
"casual","Public Rack - Pulaski Rd & 15th St",7
"casual","Public Rack - Pulaski Rd & 51st Rd",7
"casual","Public Rack - Sawyer Ave & Bryn Mawr Ave - SW",7
"casual","Public Rack - Western Ave & 110th St",7
"casual","Wentworth Ave & 103rd St",7
"casual","Western Ave & 104th St - East",7
"casual","111th St - Morgan Park Metra",6
"casual","Buffalo Ave & 89th St",6
"casual","California Ave & Devon Ave - NE",6
"casual","California Ave & Devon Ave - NW",6
"casual","Hamlin Ave & Chicago Ave",6
"casual","Harding Ave & 47th St",6
"casual","Kilbourn Ave & Fullerton Ave",6
"casual","Mackinaw Ave & 106th St",6
"casual","Menard Ave & Grand Ave",6
"casual","Newcastle Ave & Belmont Ave",6
"casual","Newland Ave & Diversey Ave",6
"casual","Oketo Ave & Belmont Ave",6
"casual","Olive Harvey College",6
"casual","Parnell Ave & 119th St",6
"casual","Pittsburgh Ave & Irving Park",6
"casual","Public Rack - 111th St - Morgan Park Metra",6
"casual","Public Rack - Al Raby School",6
"casual","Public Rack - Ashland Ave & 45th St  S",6
"casual","Public Rack - Austin Ave & Wellington Ave",6
"casual","Public Rack - Ewing Ave & 106th St",6
"casual","Public Rack - Francisco Ave & Touhy Ave",6
"casual","Public Rack - Halsted St & 64th St",6
"casual","Public Rack - Kedzie Ave & 58th St",6
"casual","Public Rack - Kedzie Ave & 62nd Pl",6
"casual","Public Rack - Kildare Ave & North Ave",6
"casual","Public Rack - La Moyne Ave and Leamington Ave",6
"casual","Public Rack - Lorel Ave & Chicago Ave",6
"casual","Public Rack - Penn Elementary School / KIPP Ascend Middle School",6
"casual","Public Rack - Pulaski Rd & 65th St",6
"casual","Public Rack - Robert Fulton Elementary School",6
"casual","Public Rack - Stewart Ave & 123rd St",6
"casual","Public Rack - Vincennes Ave & 95th St",6
"casual","Public Rack - Western Ave & 100th St",6
"casual","Public Rack - Western Ave & 105th St",6
"casual","Winchester Ave & 87th St",6
"casual","Central Ave & George St",5
"casual","Cicero Ave & Cortland St - midblock",5
"casual","Claremont Ave & 71st St",5
"casual","Cottage Grove Ave & 87th St",5
"casual","Ellis Ave & 132nd Pl",5
"casual","Ewing Ave & 106th St",5
"casual","Forrestville Ave & 47th St",5
"casual","Houston Ave & 91st St",5
"casual","Ingleside Ave & 79th St",5
"casual","Keeler Ave & Madison St",5
"casual","Kimbark Ave & 63rd St",5
"casual","Lafayette Ave & 119th St",5
"casual","Laflin St & 51st St",5
"casual","Laramie Ave & Belmont Ave",5
"casual","Latrobe Ave & Lake St",5
"casual","Linder Ave & Belmont Ave",5
"casual","Mackinaw Ave & 108th St",5
"casual","Marshfield Ave & 45th St",5
"casual","Martin Luther King Dr & 44th St",5
"casual","Martin Luther King Dr & 69th St",5
"casual","Milwaukee Ave & Waveland Ave",5
"casual","Morgan St & 87th St",5
"casual","Oleander Ave & Addison St",5
"casual","Ozark Ave & Addison St",5
"casual","Public Rack - 10557 S Western Ave",5
"casual","Public Rack - Austin Ave & Wellington Ave - midblock",5
"casual","Public Rack - California Ave & Touhy Ave - SW",5
"casual","Public Rack - Central Park Ave & 16th St",5
"casual","Public Rack - Ewing Ave & 107th St",5
"casual","Public Rack - Greenwood Ave & Lake Park Ave",5
"casual","Public Rack - Jeffrey Blvd & 71st St",5
"casual","Public Rack - Kedzie Ave & 54th St - SE",5
"casual","Public Rack - Kedzie Ave & 60th St",5
"casual","Public Rack - Kedzie Ave & 61st Pl",5
"casual","Public Rack - King Dr & 71st St",5
"casual","Public Rack - Kostner Ave & Wrightwood Ave",5
"casual","Public Rack - Langley Ave & 49th St",5
"casual","Public Rack - Laporte Ave & Armitage Ave",5
"casual","Public Rack - N Narragansett Ave & Grand Ave",5
"casual","Public Rack - Pulaski Rd & Flournoy St",5
"casual","Public Rack - Pulaski Rd & Grenshaw St",5
"casual","Public Rack - Walden Pkwy & 99th St",5
"casual","Public Rack - Western Ave & 92nd Pl",5
"casual","Public Rack - Whipple St & 63rd St",5
"casual","Public Rack - Woodlawn Ave & 63rd St S",5
"casual","Pulaski Rd & 40th St",5
"casual","Racine Ave & 74th St",5
"casual","Sangamon St & 79th St",5
"casual","Sawyer Ave & Lawrence Ave",5
"casual","State St & 47th st",5
"casual","Stony Island Ave & 86th St",5
"casual","Throop St & 58th St",5
"casual","Trumbull Ave & 111th St",5
"casual","Ashland Ave & 45th St",4
"casual","Ashland Ave & 45th St - midblock south",4
"casual","Avenue J & 106th St",4
"casual","Avondale Ave & Addison St",4
"casual","Calumet Ave & 103rd St",4
"casual","Central Ave & North Ave",4
"casual","Champlain Ave & 134th St",4
"casual","Chopin Park",4
"casual","DIVVY CASSETTE REPAIR MOBILE STATION",4
"casual","Ewing Ave & 105th St",4
"casual","Ewing Ave & 96th St",4
"casual","Halsted St & 94th St",4
"casual","Halsted St & 95th St - SE",4
"casual","Halsted St & 95th St - SW",4
"casual","Harvard Ave & 119th St",4
"casual","Kedzie Ave & 64th St - SE",4
"casual","King Dr & 83rd St",4
"casual","Laramie Ave & Warwick Ave",4
"casual","McCormick Blvd & Devon Ave",4
"casual","Menard Ave & Agusta Blvd",4
"casual","Menard Ave & Madison St",4
"casual","Michigan Ave & 119th St",4
"casual","New England Ave & Grace St",4
"casual","Nordica Ave & Addison St",4
"casual","Piotrowski Park",4
"casual","Public Rack - Abbott Park",4
"casual","Public Rack - Ashland Ave & 63rd St",4
"casual","Public Rack - Central Park Ave & Fillmore St",4
"casual","Public Rack - Eggleston Ave & 115th St",4
"casual","Public Rack - Hoyne Ave & 51st St",4
"casual","Public Rack - Kedvale Ave & 26th St",4
"casual","Public Rack - Lawndale & 63rd St",4
"casual","Public Rack - McVicker Ave & Grand Ave",4
"casual","Public Rack - Nagle Ave & Belmont Ave",4
"casual","Public Rack - Newcastle Ave & Belmont Ave",4
"casual","Public Rack - Peterson Ave & Bernard Ave",4
